amplicom	kingdom	phylum	class	order	family	genus	specie	identity
4ac2a3496a2f1cbb18bacd33aeee2e564736631f	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	99.762
052339822cc0f5f237ddb5e589363552fa5cd585	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	volvulus	99.762
c33218c543e2cbdd2253b617df4d19897661901f	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	100.000
2f458d59b2c8cd71936f2d0d579af41734d8de64	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.253
cdbb6baa1eea0734965772b3bff462fce5e5ebc3	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	cognatus	99.287
98617f1b5dfc18f4c586b4e2be04a574b16bde65	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.462
21d81812db0d98ccbe656202912be5ad716875c9	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.039
d0aa844f8247c533ad2541fa03d4f2a9600c480c	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	volvulus	98.575
eff60525ad8736db16447babb743c97d919615d9	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.812
5732a2343377aad498b041b1ea3c32076cf1129b	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.681
22f92113ef2b5b5e711debd2f9cf3659da9781c3	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.035
112170cc6b5da64b9092f2b19a45d7a905e89532	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	99.762
2b4492f86a894b30adfdb2d6ff9bd2d4825c48ba	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.908
40c71cb7bfc4bfb9bbc62ce64549951890f5b7f6	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	cognatus	98.230
122559eb821315a7b735f6c57d3024e352d8e059	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.472
6020b11379293c591e6c71dcd13c946b1547aea1	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.475
74d8ebc374e6aced18fa9616ec3a4a57bb251d87	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.341
cbe4cd940a7ff68647434e2506ce72a3b2986fa5	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.807
